stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,departement,source_gtfs
UT39:03227A,Bretelle RD1083,46.539668,5.398222,,0,UT39:ST:03227,0,region,region_lignes_regulieres
UT39:03227R,Bretelle RD1083,46.539779,5.396256,,0,UT39:ST:03227,0,region,region_lignes_regulieres
UT39:03228,Place de Verdun,46.673881,5.559442,,0,UT39:ST:03228,0,region,region_lignes_regulieres
UT39:03267,Mairie,46.871124,5.900008,,0,UT39:ST:03267,0,region,region_lignes_regulieres
UT39:03272,Champ de Foire,46.494276,5.386807,,0,UT39:ST:03272,0,region,region_lignes_regulieres
UT39:03273,Chemin de Ronde,46.493889,5.38639,,0,UT39:ST:03272,0,region,region_lignes_regulieres
UT39:03283,Salle des Fêtes,46.598293,5.643512,,0,UT39:ST:01238,0,region,region_lignes_regulieres
UT39:03287,RD33/D1,46.82761,5.461248,,0,UT39:ST:03287,0,region,region_lignes_regulieres
UT39:03288,Franche Comté,46.438188,5.72275,,0,UT39:ST:01066,0,region,region_lignes_regulieres
UT39:03289,MOIRANS EN MTGNE Voltaire,46.433612,5.724916,,0,UT39:ST:01064,0,region,region_lignes_regulieres
UT39:03291,Mairie,46.724689,5.778043,,0,UT39:ST:01369,0,region,region_lignes_regulieres
UT39:03296,Cité Chabod,46.381043,5.856561,,0,UT39:ST:03296,0,region,region_lignes_regulieres
UT39:03299,MT/VAUDREY Rte Poligny,46.972223,5.604444,,0,UT39:ST:03299,0,region,region_lignes_regulieres
UT39:03301,Carré Amiot,46.207543,5.22793,,0,UT39:ST:03301,0,region,region_lignes_regulieres
UT39:03302,Barges,46.95977,5.836008,,0,UT39:ST:03302,0,region,region_lignes_regulieres
UT39:03337,TOUR-DU-MEIX (LA) Lac de Vouglans,46.519698,5.671232,,0,UT39:ST:03337,0,region,region_lignes_regulieres
UT39:03349,2982 Rue du Vivier,46.519303,6.105909,,0,UT39:ST:03349,0,region,region_lignes_regulieres
UT39:03350,Route de Lyon,46.381027,5.830026,,0,UT39:ST:03350,0,region,region_lignes_regulieres
UT39:03382,Labalme,46.199798,5.225994,,0,UT39:ST:03382,0,region,region_lignes_regulieres
UT39:03405,République,47.326792,5.044192,,0,UT39:ST:03405,0,region,region_lignes_regulieres
UT39:03425,MIGAILLE,46.992146,5.557543,,0,UT39:ST:03425,0,region,region_lignes_regulieres
UT39:03434A,Fac des Sciences,47.315728,5.064753,,0,UT39:ST:03434,0,region,region_lignes_regulieres
UT39:03434R,Fac des Sciences,47.31494,5.064015,,0,UT39:ST:03434,0,region,region_lignes_regulieres
UT39:03439A,VILLARD ST SAUVEUR Montbrillant Haut,46.367906,5.88163,,0,UT39:ST:03439,0,region,region_lignes_regulieres
UT39:03440A,Gare de Dijon-Ville (Tram),47.3237,5.027721,,0,UT39:ST:03440,1,region,region_lignes_regulieres
UT58:00567,L'Huy Moreau,47.041953,3.596607,,0,UT58:ST:00567,0,region,region_lignes_regulieres
UT58:00731,La Chapelle,47.536607,3.034646,,0,UT58:ST:00731,0,region,region_lignes_regulieres
UT58:01036,Petit Lugues,46.954152,3.406167,,0,UT58:ST:01036,0,region,region_lignes_regulieres
UT58:01192,Agland RD,47.06485,3.4344,,0,UT58:ST:01192,0,region,region_lignes_regulieres
UT58:01218,Forges,47.482695,3.202235,,0,UT58:ST:01218,0,region,region_lignes_regulieres
UT58:01323,LA CELLE S/LOIRE Le Carroué,47.48894,2.930387,,0,UT58:ST:01323,0,region,region_lignes_regulieres
UT58:01337,LA CELLE S/LOIRE La Girafe,47.487096,2.922487,,0,UT58:ST:01337,0,region,region_lignes_regulieres
