count_point_id;count_point_name;operator_id;operator_name;longitude;latitude;op_road_name;route_normalisee;station_name;op_landmark;op_direction;meas_roadlink_id;disponible_2026;nb_heures_2026;premiere_mesure_2026;derniere_mesure_2026
4989;MXH70.B2;10;DIR Est;5.873646182176395;47.71814876247917;N19;N19;Radt Combeaufontaine;16;Sens 2;75662692;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
4995;MXH70.C1;10;DIR Est;6.516652166806197;47.68122364725728;N19;N19;Radt Lure;73;Sens 1;82460833;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
4997;MXH70.C2;10;DIR Est;6.516807576655927;47.6812626961854;N19;N19;Radt Lure;73;Sens 2;82460843;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5000;MXH70.D1;10;DIR Est;6.303361780887313;47.71896733747097;N57;N57;Radt Pont-Joly;29;Sens 1;75660533;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5001;MXH70.D2;10;DIR Est;6.303437977035864;47.71890257523702;N57;N57;Radt Pont-Joly;29;Sens 2;75660533;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
4991;MXH70.E1;10;DIR Est;6.147288855681895;47.64017001301768;N19;N19;Radt La Vaugine;40;Sens 1;75672495;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
4992;MXH70.E2;10;DIR Est;6.147371794973783;47.64024937410727;N19;N19;Radt La Vaugine;40;Sens 2;75672461;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
4998;MXH70.F1;10;DIR Est;6.402199727409498;47.79564019061328;N57;N57;Radt St Sauveur;18;Sens 1;75650299;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
4999;MXH70.F2;10;DIR Est;6.402291205274444;47.7955997950662;N57;N57;Radt St Sauveur;18;Sens 2;75650299;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5049;MXH70.G1;10;DIR Est;6.458539251168967;47.69364051365702;N19;N19;Radt Amblans;67;Sens 1;84182999;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5004;MXH70.G2;10;DIR Est;6.458516288676945;47.69373492280228;N19;N19;Radt Amblans;67;Sens 2;84481672;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5037;MXH70.H1;10;DIR Est;6.590632949276872;47.64673823828878;N19;N19;Radt Lyoffans;81;Sens 1;75668700;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5050;MXH70.H2;10;DIR Est;6.590755815349637;47.64680423364703;N19;N19;Radt Lyoffans;81;Sens 2;80070213;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5012;MXH70.J1;10;DIR Est;6.231058562680138;47.67242839596465;N57;N57;Radt Colombier;37;Sens 1;75668090;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5015;MXH70.J2;10;DIR Est;6.231086444554839;47.67233236159027;N57;N57;Radt Colombier;37;Sens 2;75668090;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5016;MXH70.K1;10;DIR Est;6.134917697925613;47.64684440273719;N19;N19;Radt Pusey;39;Sens 1;75671213;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5017;MXH70.K2;10;DIR Est;6.134931043831959;47.64693330611394;N19;N19;Radt Pusey;39;Sens 2;75671212;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5002;MXH70.L1;10;DIR Est;6.047627940547021;47.68816487936935;N19;N19;Radt Port Sur Saone;30;Sens 1;;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5003;MXH70.L2;10;DIR Est;6.047630547115525;47.68826484539258;N19;N19;Radt Port Sur Saone;30;Sens 2;;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5058;MXJ39.F1;10;DIR Est;6.044237872537361;46.49211612013686;N5;N5;Radt Les Rousses;107;Sens 1;84611028;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5206;MXJ39.F2;10;DIR Est;6.044265044545567;46.49201988250405;N5;N5;Radt Les Rousses;107;Sens 2;84611028;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5009;MXJ39.G1;10;DIR Est;5.842877962182491;47.00286922483627;N83;N83;Radt Granges De Vaivre;87;Sens 1;84429950;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
4985;MXJ39.G2;10;DIR Est;5.842814096668218;47.00293964333692;N83;N83;Radt Granges De Vaivre;87;Sens 2;84429950;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5018;MXJ39.H1;10;DIR Est;5.730555159304096;46.8916673370265;N83;N83;Radt Buvilly;71;Sens 1;70907507;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5054;MXJ39.H2;10;DIR Est;5.73046234014533;46.89170454729076;N83;N83;Radt Buvilly;71;Sens 2;70907507;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5266;MXJ39.I1;10;DIR Est;5.666656758164573;46.8413266246223;N83;N83;Radt Poligny;61;Sens 1;70912785;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
4984;MXJ39.I2;10;DIR Est;5.666673820023661;46.84143151755791;N83;N83;Radt Poligny;61;Sens 2;70912784;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5207;MXJ39.J1;10;DIR Est;5.953125407277443;46.58492987418019;N5;N5;Radt St Laurent;88;Sens 1;82207825;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5205;MXJ39.J2;10;DIR Est;5.953224582738764;46.58491705903791;N5;N5;Radt St Laurent;88;Sens 2;82207825;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5056;MXJ39.K1;10;DIR Est;5.725279824652275;46.82444692889741;N5;N5;Radt Vaux Sur Poligny;47;Sens 1;70913438;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5059;MXJ39.K2;10;DIR Est;5.725332701361721;46.82453180559384;N5;N5;Radt Vaux Sur Poligny;47;Sens 2;70913438;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5203;MXJ39.L1;10;DIR Est;5.904993091361637;46.76726822715504;N5;N5;Radt Vannoz;65;Sens 1;70919195;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5204;MXJ39.L2;10;DIR Est;5.905092516430936;46.76727893489033;N5;N5;Radt Vannoz;65;Sens 2;70919195;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5085;MXJ39.M1;10;DIR Est;5.922577439942563;46.72609912806553;N5;N5;Radt Champagnole;70;Sens 1;70925341;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5117;MXJ39.M2;10;DIR Est;5.922674811956385;46.7260763532785;N5;N5;Radt Champagnole;70;Sens 2;70925341;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5078;MXT90.B1;10;DIR Est;6.925014188154293;47.56735440733353;N19;N19;Radt Bourogne;11;Sens 1;74970604;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5090;MXT90.B2;10;DIR Est;6.92507923185342;47.56743036335504;N19;N19;Radt Bourogne;11;Sens 2;74970604;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5072;MXT90.D1;10;DIR Est;6.84511529742912;47.59346436152039;N19;N19;Radt Dorans;4;Sens 1;85295852;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5074;MXT90.D2;10;DIR Est;6.845208434361455;47.59355894683086;N19;N19;Radt Dorans;4;Sens 2;85295854;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5091;MXT90.E1;10;DIR Est;6.969452960300194;47.51021372707202;N19;N19;Radt Feche L Eglise;18;Sens 1;74973681;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5092;MXT90.E2;10;DIR Est;6.969556338575969;47.51028221972128;N19;N19;Radt Feche L Eglise;18;Sens 2;80189466;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
5212;MZH52.F1;10;DIR Est;5.352836620454337;47.85648214561268;N19;N19;Radt Chatenay;67;Sens 1;78470119;1;745;2026-01-01T00:00:00+01:00;2026-02-01T00:00:00+01:00
